date,ticker,net_flow_usd,source
2024-01-11,ARKB,65.3,farside
2024-01-11,BITB,237.9,farside
2024-01-11,BRRR,29.4,farside
2024-01-11,BTCO,17.4,farside
2024-01-11,BTCW,1.0,farside
2024-01-11,EZBC,50.1,farside
2024-01-11,FBTC,227.0,farside
2024-01-11,HODL,10.6,farside
2024-01-11,IBIT,111.7,farside
2024-01-12,ARKB,39.8,farside
2024-01-12,BITB,17.4,farside
2024-01-12,BRRR,20.2,farside
2024-01-12,BTCO,28.4,farside
2024-01-12,BTCW,0.0,farside
2024-01-12,EZBC,0.0,farside
2024-01-12,FBTC,195.3,farside
2024-01-12,HODL,0.0,farside
2024-01-12,IBIT,386.0,farside
2024-01-16,ARKB,122.3,farside
2024-01-16,BITB,50.2,farside
2024-01-16,BRRR,15.3,farside
2024-01-16,BTCO,31.9,farside
2024-01-16,BTCW,0.0,farside
2024-01-16,EZBC,0.0,farside
2024-01-16,FBTC,102.0,farside
2024-01-16,HODL,7.3,farside
2024-01-16,IBIT,212.7,farside
2024-01-17,ARKB,50.3,farside
2024-01-17,BITB,68.2,farside
2024-01-17,BRRR,1.2,farside
2024-01-17,BTCO,57.6,farside
2024-01-17,BTCW,1.6,farside
2024-01-17,EZBC,1.2,farside
2024-01-17,FBTC,358.1,farside
2024-01-17,HODL,4.8,farside
2024-01-17,IBIT,371.4,farside
2024-01-18,ARKB,41.8,farside
2024-01-18,BITB,20.1,farside
2024-01-18,BRRR,9.3,farside
2024-01-18,BTCO,58.8,farside
2024-01-18,BTCW,0.0,farside
2024-01-18,EZBC,0.0,farside
2024-01-18,FBTC,177.9,farside
2024-01-18,HODL,2.3,farside
2024-01-18,IBIT,145.5,farside
2024-01-19,ARKB,62.6,farside
2024-01-19,BITB,56.7,farside
2024-01-19,BRRR,10.4,farside
2024-01-19,BTCO,63.4,farside
2024-01-19,BTCW,2.9,farside
2024-01-19,EZBC,0.0,farside
2024-01-19,FBTC,222.3,farside
2024-01-19,HODL,14.2,farside
2024-01-19,IBIT,201.5,farside
2024-01-22,ARKB,65.0,farside
2024-01-22,BITB,41.6,farside
2024-01-22,BRRR,9.7,farside
2024-01-22,BTCO,5.6,farside
2024-01-22,BTCW,0.4,farside
2024-01-22,EZBC,4.7,farside
2024-01-22,FBTC,158.7,farside
2024-01-22,HODL,6.8,farside
2024-01-22,IBIT,260.6,farside
2024-01-23,ARKB,61.8,farside
2024-01-23,BITB,26.3,farside
2024-01-23,BRRR,0.0,farside
2024-01-23,BTCO,0.0,farside
2024-01-23,BTCW,0.0,farside
2024-01-23,EZBC,1.1,farside
2024-01-23,FBTC,157.7,farside
2024-01-23,HODL,2.2,farside
2024-01-23,IBIT,160.1,farside
2024-01-24,ARKB,24.9,farside
2024-01-24,BITB,19.1,farside
2024-01-24,BRRR,9.1,farside
2024-01-24,BTCO,19.9,farside
2024-01-24,BTCW,0.4,farside
2024-01-24,EZBC,1.2,farside
2024-01-24,FBTC,125.7,farside
2024-01-24,HODL,4.5,farside
2024-01-24,IBIT,66.2,farside
2024-01-25,ARKB,16.1,farside
2024-01-25,BITB,20.0,farside
2024-01-25,BRRR,6.5,farside
2024-01-25,BTCO,0.0,farside
2024-01-25,BTCW,0.0,farside
2024-01-25,EZBC,0.0,farside
2024-01-25,FBTC,101.0,farside
2024-01-25,HODL,0.0,farside
2024-01-25,IBIT,170.7,farside
2024-01-26,ARKB,46.4,farside
2024-01-26,BITB,30.9,farside
2024-01-26,BRRR,1.8,farside
2024-01-26,BTCO,0.0,farside
2024-01-26,BTCW,0.0,farside
2024-01-26,EZBC,1.2,farside
2024-01-26,FBTC,100.1,farside
2024-01-26,HODL,2.4,farside
2024-01-26,IBIT,87.1,farside
2024-01-29,ARKB,17.2,farside
2024-01-29,BITB,20.0,farside
2024-01-29,BRRR,0.0,farside
2024-01-29,BTCO,3.0,farside
2024-01-29,BTCW,0.0,farside
2024-01-29,EZBC,0.0,farside
2024-01-29,FBTC,208.2,farside
2024-01-29,HODL,0.0,farside
2024-01-29,IBIT,198.4,farside
2024-01-30,ARKB,16.8,farside
2024-01-30,BITB,21.9,farside
2024-01-30,BRRR,0.0,farside
2024-01-30,BTCO,6.3,farside
2024-01-30,BTCW,2.1,farside
2024-01-30,EZBC,2.5,farside
2024-01-30,FBTC,119.2,farside
2024-01-30,HODL,0.0,farside
2024-01-30,IBIT,299.2,farside
2024-01-31,ARKB,14.8,farside
2024-01-31,BITB,17.8,farside
2024-01-31,BRRR,0.6,farside
2024-01-31,BTCO,1.5,farside
2024-01-31,BTCW,0.0,farside
2024-01-31,EZBC,0.0,farside
2024-01-31,FBTC,232.0,farside
2024-01-31,HODL,2.4,farside
2024-01-31,IBIT,116.2,farside
2024-02-01,ARKB,15.9,farside
2024-02-01,BITB,4.2,farside
2024-02-01,BRRR,0.0,farside
2024-02-01,BTCO,0.0,farside
2024-02-01,BTCW,0.7,farside
2024-02-01,EZBC,0.0,farside
2024-02-01,FBTC,35.8,farside
2024-02-01,HODL,0.0,farside
2024-02-01,IBIT,163.9,farside
2024-02-02,ARKB,22.6,farside
2024-02-02,BITB,11.5,farside
2024-02-02,BRRR,0.0,farside
2024-02-02,BTCO,0.0,farside
2024-02-02,BTCW,0.9,farside
2024-02-02,EZBC,2.5,farside
2024-02-02,FBTC,78.9,farside
2024-02-02,HODL,2.4,farside
2024-02-02,IBIT,105.8,farside
2024-02-05,ARKB,0.0,farside
2024-02-05,BITB,0.0,farside
2024-02-05,BRRR,0.0,farside
2024-02-05,BTCO,0.0,farside
2024-02-05,BTCW,0.7,farside
2024-02-05,EZBC,0.0,farside
2024-02-05,FBTC,38.0,farside
2024-02-05,HODL,0.0,farside
2024-02-05,IBIT,137.3,farside
2024-02-06,ARKB,8.6,farside
2024-02-06,BITB,11.3,farside
2024-02-06,BRRR,0.0,farside
2024-02-06,BTCO,0.0,farside
2024-02-06,BTCW,1.1,farside
2024-02-06,EZBC,0.0,farside
2024-02-06,FBTC,37.7,farside
2024-02-06,HODL,2.4,farside
2024-02-06,IBIT,45.2,farside
2024-02-07,ARKB,3.3,farside
2024-02-07,BITB,21.4,farside
2024-02-07,BRRR,1.2,farside
2024-02-07,BTCO,8.6,farside
2024-02-07,BTCW,0.9,farside
2024-02-07,EZBC,5.1,farside
2024-02-07,FBTC,130.1,farside
2024-02-07,HODL,0.0,farside
2024-02-07,IBIT,56.2,farside
2024-02-08,ARKB,86.4,farside
2024-02-08,BITB,60.5,farside
2024-02-08,BRRR,1.9,farside
2024-02-08,BTCO,13.4,farside
2024-02-08,BTCW,1.7,farside
2024-02-08,EZBC,0.0,farside
2024-02-08,FBTC,128.3,farside
2024-02-08,HODL,10.3,farside
2024-02-08,IBIT,204.1,farside
2024-02-09,ARKB,136.5,farside
2024-02-09,BITB,29.1,farside
2024-02-09,BRRR,1.4,farside
2024-02-09,BTCW,0.5,farside
2024-02-09,EZBC,1.4,farside
2024-02-09,FBTC,188.4,farside
2024-02-09,HODL,2.7,farside
2024-02-09,IBIT,250.7,farside
2024-02-12,ARKB,40.0,farside
