h,beta,se,t,p,n,r2
0,-9.2407777431946e-09,1.858185194753763e-08,-0.49730122537216426,0.6189766477757623,469,0.025246883091854633
1,-1.136375965031392e-08,1.2193539363307934e-08,-0.931949232436077,0.3513627626239043,468,0.007536265940205289
2,-2.376307881652458e-08,1.4186142018525277e-08,-1.6750909997582892,0.09391637856823322,467,0.02916387655631547
3,4.4776057825448005e-09,1.4317394242178097e-08,0.312738875999801,0.7544790572292666,466,0.014089649622032963
4,-9.385562775582176e-09,1.9907012464112683e-08,-0.4714701812992771,0.6373050087699331,465,0.0199238613978171
5,-5.789297791505079e-10,1.5610216083850767e-08,-0.03708659611377372,0.9704159594287018,464,0.019440097690082703
6,3.6798740894712115e-08,1.4554726699078626e-08,2.528301743861781,0.011461579853823498,463,0.007675114155306306
7,3.6837092707159416e-08,1.2447398267036495e-08,2.959421070723856,0.0030821764503488557,462,0.010626205854764592
8,5.6936079048185186e-08,1.1015971003636517e-08,5.168502988015295,2.359765164571228e-07,461,0.034085213438201034
9,2.2511322580291958e-08,1.4970271221028868e-08,1.5037351192856219,0.13264958275697888,460,0.0063120008147747875
10,1.642870594286417e-08,1.545748550025123e-08,1.0628317227014157,0.28785827070853565,459,0.0035011096888267756
