h,beta,se,t,p,n,r2
0,-0.011376072872911536,0.19573865634948412,-0.05811868276340867,0.9536540928527173,196,0.002509622505909914
1,0.28438601962862664,0.27719732095540295,1.025933507035518,0.30492292737735693,195,0.04503463406701069
2,0.17161114433539504,0.25101392645778314,0.6836718056129747,0.49418243095774606,194,0.03888152269844947
3,0.09448807885591651,0.24395705460178463,0.38731439437220233,0.6985234703950887,193,0.019925806781783906
4,0.18908537325610497,0.29145390568391516,0.6487659611642674,0.5164896620595697,192,0.022215741173087444
5,0.44160256657317987,0.25420552223946485,1.7371871495269273,0.08235414241324276,191,0.05124332367759343
6,-0.0319941002818165,0.23379451335397688,-0.13684709629338387,0.891151656334754,190,0.024624956767111406
7,0.30002039768962524,0.24529757133543487,1.2230875179736658,0.22129664255240422,189,0.0125796338863563
8,-0.024234456019865153,0.27861603147108077,-0.08698155627265329,0.9306861724983065,188,0.02941160848275448
9,0.08823492586470363,0.21976887370824988,0.4014896394374678,0.6880596645511139,187,0.0382679746566833
10,0.1070390591991558,0.2555000570388767,0.41893947281142413,0.6752603681107576,186,0.01940444456377033
