,count,mean,std,min,1%,5%,50%,95%,99%,max
flow_agg_usd,470.0,250234468.08510637,267738663.20195636,0.0,0.0,0.0,153850000.0,853294999.9999995,1022158000.0000001,1174600000.0
aum_total,470.0,85985810023.49234,65733714961.60247,872814784.0205632,1850715995.5984385,5463503117.031391,73798309905.09735,217712773426.66528,232738153094.28082,250290750583.6269
aum_total_lag,470.0,85760290662.68837,65844073899.97572,750400000.0,1621917124.3528998,5027034720.1914625,73472491425.4542,217712773426.66528,232738153094.28082,250290750583.6269
dollar_volume_total,470.0,2312560774.3385777,1625098196.1665683,6624767.9443359375,34331633.13697052,177702594.59089282,1987396834.6931458,5530489036.493596,7246364590.295153,8580816822.745514
FlowShock_frac,470.0,11385.057148327609,53976.44345468263,0.0,0.0,0.0,2277.7351480292,42797.7896211096,149885.2363683134,915644.9893390192
Turnover,470.0,0.05900255363754697,0.12178241028832415,9.357791000469046e-05,0.000471276455599913,0.004567524614018846,0.029011554893628902,0.18995070650066936,0.5232451202670896,1.764885229309866
Premium_agg,470.0,-0.0034349007883159653,0.034714358385702374,-0.1522754827490789,-0.09924009224803917,-0.0581057109090765,-0.0050289521841393,0.04859469852394172,0.08377305512076633,0.1338985758818912
ret_close_close,470.0,0.001472890651650288,0.02821533434184454,-0.1002468379498908,-0.05788014552998239,-0.039313425179253444,0.0010029822056108,0.049215309382663434,0.07276446315155413,0.0954963258693354
ret_intraday,470.0,-0.0006488637885452469,0.020148708654682327,-0.0885978264654695,-0.0511623005238243,-0.035362926011564086,0.00026917410433545,0.029596155209717336,0.057036499766514905,0.0684234986568905
ret_overnight,470.0,0.0021217544401955315,0.020619562919673946,-0.1584405685181559,-0.04743051121173281,-0.029408335589600567,0.00174787108300835,0.03304905067467735,0.0483739415151043,0.0786331859326117
rv_intraday,470.0,0.00035795572713265267,0.0003857576455349917,4.061905172672493e-05,6.727932458439222e-05,9.446888164290257e-05,0.00026045094189585,0.0008282890869547549,0.0019015899129469212,0.0039396659417115
rv_overnight,470.0,0.00043696274752758697,0.00048255916450840335,3.941303958071845e-05,7.564670757930568e-05,0.000109737541423545,0.0003047358521442,0.001247080842832225,0.0018951668361117324,0.0053516440551043
is_fomc,470.0,0.014893617021276596,0.12125625898470568,0.0,0.0,0.0,0.0,0.0,1.0,1.0
is_cpi,470.0,0.023404255319148935,0.15134474118871255,0.0,0.0,0.0,0.0,0.0,1.0,1.0
