h,beta,se,t,p,n
0,5.5335184202825865e-09,9.689028169703493e-08,0.057111181053072786,0.9544812148487183,469
1,-9.356522469849145e-08,6.782898777456245e-08,-1.3794282911823244,0.1684286190072657,468
2,-5.596424062347517e-08,7.066720186724005e-08,-0.7919408034382512,0.428801617449895,467
3,-9.67139653672272e-09,6.393044318706909e-08,-0.15127998578741134,0.87982103224197,466
4,-5.978504566375472e-08,5.937030744006061e-08,-1.0069856169114977,0.31447108174538885,465
5,1.1446413795359087e-08,5.1404585617385626e-08,0.22267300976914747,0.8238890607842233,464
6,1.9087250551430595e-09,6.58853245083568e-08,0.02897041290129731,0.9769008069878766,463
7,2.4878606555776828e-08,7.30432246493938e-08,0.34060115329236496,0.7335603761780818,462
8,7.834243557196097e-08,4.641752021011211e-08,1.6877772706800906,0.0921377761088289,461
9,-5.180726625528205e-09,6.227080048321356e-08,-0.08319672439291641,0.933731705999505,460
10,4.444379323218804e-08,9.912532171710189e-08,0.4483596366933177,0.6541075662934464,459
