h,beta,se,t,p,n
0,-3.3366351626289774e-08,4.1191210211399276e-08,-0.8100357201220554,0.41833487373969325,469
1,-3.7653699818777094e-08,3.917286074283744e-08,-0.9612190456542514,0.3369437531526269,468
2,-3.2912335758189737e-09,4.0035265058146154e-08,-0.08220836232853394,0.934516627335344,467
3,-2.625246302674688e-08,3.966642233414507e-08,-0.6618308756358049,0.5084102935918833,466
4,-3.7334900812809035e-08,4.191003112420224e-08,-0.8908344807038058,0.37348366698143787,465
5,-3.768740874268992e-08,7.077079291705774e-08,-0.5325277164388842,0.5946182441760421,464
6,8.567961214602992e-09,3.85745013661389e-08,0.2221146330130929,0.8243236547423525,463
7,3.7169742381202425e-08,2.6614890095784337e-08,1.396576963024541,0.16321870324273835,462
8,3.4136556425045395e-08,4.019087154334938e-08,0.8493609397901741,0.39612616717012394,461
9,-2.275249456230432e-08,3.552324167888614e-08,-0.6404960101326468,0.5221726045555921,460
10,-9.105930512965479e-09,3.8639912764120895e-08,-0.23566125960358777,0.8138018012656092,459
