label,threshold,h,n_events_used,avg_CAR,se_CAR,t,variant,thr_value,n_events_total
baseline,0.9,1,47,0.00837796272603518,0.005167431359421798,1.6213012120150583,base,16093.24609117471,47
baseline,0.9,2,47,0.016506666468263747,0.00651421047761014,2.533947363997291,base,16093.24609117471,47
baseline,0.9,5,46,0.040408308457308244,0.011541456912230835,3.501144505810729,base,16093.24609117471,47
placebo_shift10,0.9,1,46,0.008563663181784736,0.004921441202380969,1.740072232833276,base,16093.24609117471,47
placebo_shift10,0.9,2,46,0.0154734350438507,0.006452551312194479,2.398033629675742,base,16093.24609117471,47
placebo_shift10,0.9,5,46,0.034250372257432875,0.01165197647961812,2.9394474248505684,base,16093.24609117471,47
baseline,0.95,1,24,0.00468566662528717,0.0066524470211390945,0.7043523398830234,base,42797.7896211096,24
baseline,0.95,2,24,0.011466532720326066,0.007680682153975811,1.4929055115749785,base,42797.7896211096,24
baseline,0.95,5,23,0.02658989305489132,0.012413135091512251,2.1420771512486585,base,42797.7896211096,24
placebo_shift10,0.95,1,23,0.013889940427008618,0.006736575833826849,2.0618695268391503,base,42797.7896211096,24
placebo_shift10,0.95,2,23,0.027263798085534384,0.00971695079791009,2.805797688241691,base,42797.7896211096,24
placebo_shift10,0.95,5,23,0.06111348676683713,0.016000803766966765,3.819401053652336,base,42797.7896211096,24
baseline,0.9,1,46,0.009413092109910166,0.005312637024713406,1.7718304612421665,exclude_macro,15378.707260197842,46
baseline,0.9,2,46,0.01813905080610884,0.006972319020216962,2.60158072995696,exclude_macro,15378.707260197842,46
baseline,0.9,5,45,0.04440894910238482,0.012158643565733672,3.6524591630879932,exclude_macro,15378.707260197842,46
placebo_shift10,0.9,1,45,0.008999717227288411,0.005208932041569527,1.7277470996869957,exclude_macro,15378.707260197842,46
placebo_shift10,0.9,2,45,0.01436233210957419,0.007338209306939592,1.957198481105197,exclude_macro,15378.707260197842,46
placebo_shift10,0.9,5,45,0.03773960180163821,0.012494079320480281,3.0205988639575465,exclude_macro,15378.707260197842,46
baseline,0.95,1,23,0.009370096757693928,0.0070894338343359025,1.3216988798614926,exclude_macro,42403.89975386471,23
baseline,0.95,2,23,0.01940152853662526,0.008839595643402979,2.194843442992179,exclude_macro,42403.89975386471,23
baseline,0.95,5,22,0.038109965983674166,0.013692219739360557,2.783330001206506,exclude_macro,42403.89975386471,23
placebo_shift10,0.95,1,22,0.015370738522323157,0.006166164454172098,2.492755202453794,exclude_macro,42403.89975386471,23
placebo_shift10,0.95,2,22,0.026867543635603893,0.010168436059747685,2.642249356512212,exclude_macro,42403.89975386471,23
placebo_shift10,0.95,5,22,0.05512545521371146,0.018679511900215853,2.951118611031504,exclude_macro,42403.89975386471,23
