variant,window,shock,beta,se,t,p,n,r2
base,ret_close_close,FlowShock_frac,-9.2407777431946e-09,1.858185194753763e-08,-0.49730122537216426,0.6189766477757623,469,0.025246883091854633
base,ret_overnight,FlowShock_frac,-9.690994917405517e-09,9.169540283604747e-09,-1.0568681327168754,0.290571774038067,469,0.05792233192161644
base,ret_intraday,FlowShock_frac,4.502171742108887e-10,1.1715612268786815e-08,0.03842882163404935,0.9693457816077906,469,0.01951750281549558
exclude_macro,ret_close_close,FlowShock_frac,-6.430512051499091e-09,2.0021441368960153e-08,-0.3211812742647244,0.7480730219768794,452,0.02190380806843495
exclude_macro,ret_overnight,FlowShock_frac,-7.500932667540709e-09,1.0753517761682969e-08,-0.6975329221353127,0.48546934354934324,452,0.045510720209133604
exclude_macro,ret_intraday,FlowShock_frac,1.0704206160415987e-09,1.1525020858674762e-08,0.09287797646248114,0.926000502342818,452,0.0054065758579854295
bull,ret_close_close,FlowShock_frac,3.614573910430423e-07,1.7185636376079075e-07,2.1032528742791268,0.03544367052748131,246,0.027218984324819506
bull,ret_overnight,FlowShock_frac,2.1143979849324118e-07,1.470761636821705e-07,1.4376211154797292,0.15054158636293588,246,0.04120736629958843
bull,ret_intraday,FlowShock_frac,1.5001759254980002e-07,8.09185353764725e-08,1.8539336117719507,0.0637486584751929,246,0.032731146174519776
bear,ret_close_close,FlowShock_frac,-3.6194403354260435e-09,1.8506681729826992e-08,-0.19557478689400248,0.8449429962990893,222,0.0628211663044077
bear,ret_overnight,FlowShock_frac,-4.045896988934398e-09,8.906985310751916e-09,-0.45423865065214175,0.6496570669511377,222,0.1027992091579133
bear,ret_intraday,FlowShock_frac,4.264566535083389e-10,1.1878603967078147e-08,0.035901243503889374,0.9713611043354269,222,0.03496677873477361
pre_t1,ret_close_close,FlowShock_frac,-2.764108362268992e-08,1.8224484753253632e-08,-1.5167004168803804,0.12934233901306202,91,0.08883158792695312
pre_t1,ret_overnight,FlowShock_frac,-1.3233667203563244e-08,9.727920852267919e-09,-1.3603798185177476,0.17370976152416007,91,0.20151194180176724
pre_t1,ret_intraday,FlowShock_frac,-1.4407416419126714e-08,1.2002753815025135e-08,-1.2003425748090746,0.23000632128787735,91,0.09007450412872042
post_t1,ret_close_close,FlowShock_frac,1.82371148083418e-07,1.2698992246326337e-07,1.4361072480863648,0.15097182595905398,377,0.016736308810433198
post_t1,ret_overnight,FlowShock_frac,3.518171784195682e-09,1.1152462367607137e-07,0.031546143517277234,0.9748339932343097,377,0.02575437021257665
post_t1,ret_intraday,FlowShock_frac,1.7885297629922242e-07,6.292274087856216e-08,2.8424218939286194,0.0044772200068270394,377,0.02731177215823899
year_2024,ret_close_close,FlowShock_frac,-1.508406437856345e-08,1.7612362813436592e-08,-0.8564475157788435,0.391750291746214,242,0.05026753484300572
year_2024,ret_overnight,FlowShock_frac,-9.73994336049201e-09,9.845421720235356e-09,-0.9892865574740637,0.32252295911039297,242,0.08949042207688307
year_2024,ret_intraday,FlowShock_frac,-5.344121018071462e-09,1.0298778687119837e-08,-0.5189082298423486,0.6038247384374973,242,0.03419901663696068
year_2025,ret_close_close,FlowShock_frac,3.993715412970818e-08,9.281575372073223e-08,0.4302842193133796,0.666988904967488,226,0.014227065033051156
year_2025,ret_overnight,FlowShock_frac,-1.4110229094056323e-07,5.241656288793937e-08,-2.691940927951034,0.007103752643041003,226,0.030989866346080475
year_2025,ret_intraday,FlowShock_frac,1.810394450702719e-07,9.153451120313174e-08,1.9778271898837414,0.04794820503038973,226,0.021532203404414973
winsor_1_99,ret_close_close,FlowShock_w,3.350879162988279e-08,8.369307959093017e-08,0.4003770896430742,0.688878796020061,469,0.025596509116981525
winsor_1_99,ret_overnight,FlowShock_w,-5.662571220381506e-09,5.150951170760722e-08,-0.10993253542229221,0.9124628793768471,469,0.05731742685413532
winsor_1_99,ret_intraday,FlowShock_w,3.9171362850264196e-08,4.254429048027748e-08,0.9207196173226371,0.357196831418947,469,0.021295085127129076
