label,threshold,h,n_events_used,avg_CAR,se_CAR,t
baseline,0.95,1,10,-0.0021185267687020607,0.008927231435722351,-0.23731061348143923
baseline,0.95,2,10,0.000316358584757228,0.011848186881856312,0.026701012392173085
baseline,0.95,5,10,0.029194312682093205,0.022869343017294097,1.27656980176545
placebo_shift10,0.95,1,10,-0.003445008636564312,0.00849130169905111,-0.40571030905064726
placebo_shift10,0.95,2,10,0.003548131321354048,0.011809708278099844,0.3004419108246537
placebo_shift10,0.95,5,10,-0.009367213636988374,0.015504846497748647,-0.6041474604955633
baseline,0.9,1,20,-0.0013355859679224382,0.005948934388303473,-0.2245084381075722
baseline,0.9,2,20,0.0050655526755422915,0.008846207929831793,0.5726241928431147
baseline,0.9,5,20,0.024907314074393245,0.016044073654459555,1.5524307984880195
placebo_shift10,0.9,1,20,0.0009441572038484508,0.006816386908658749,0.13851285387704484
placebo_shift10,0.9,2,20,0.0010695980971263174,0.008474888328566719,0.1262079281352854
placebo_shift10,0.9,5,20,-0.0015302049786765858,0.012304992839174996,-0.12435642983918879
