h,beta,se,t,p,n,r2
0,0.3250209829169497,0.33074250718669357,0.9827009708597442,0.32575463275817806,196,0.017062505831446195
1,0.2713430044186134,0.31104593875069303,0.8723566863096002,0.38301382198159395,195,0.037444298831874834
2,0.03662687870590037,0.2503557940372105,0.14629930514193132,0.8836851143730506,194,0.019097378948622956
3,-0.4078727957080919,0.24229534858237967,-1.6833703085695695,0.0923034273786913,193,0.031785657007275536
4,0.31637062087020407,0.26962391859127033,1.1733774307679217,0.24064448370757818,192,0.05051022299240748
5,0.07381535436369646,0.29774088345582356,0.2479181008228875,0.8041977745960389,191,0.019168797694378736
6,0.34313845691317024,0.29084455683156807,1.1798001676609897,0.2380797028457975,190,0.02740795760826875
7,0.385268716555171,0.2891663256366739,1.332342954204308,0.1827475182953927,189,0.03129788186198923
8,-0.07119113915264877,0.23941366700834196,-0.2973562037716428,0.7661945765502098,188,0.02893963666695709
9,-0.5095902229290574,0.2859021438890565,-1.7823938498579515,0.07468502773542023,187,0.023307228296712057
10,-0.09913804261032025,0.24386244560222786,-0.4065326350906347,0.6843512829983822,186,0.08175164196037532
