h,beta,se,t,p,n
0,0.40419874086269697,2.457365244964217,0.16448460060668868,0.8696720300627567,108
1,-0.48971552263187723,2.721831260141632,-0.17992133818258615,0.8575712818003336,107
2,-1.935902693408681,2.437596173539612,-0.7941851543841134,0.4289497263459279,106
3,-2.0078329806949657,1.6809434684140399,-1.1944678797493078,0.23512048580111822,105
4,-0.31736095313202906,1.8013034659662168,-0.1761840573386101,0.8605056488730747,105
5,0.49060468157672665,1.2086209068264544,0.4059210616047803,0.6856678733933594,105
6,-0.1199487630360572,1.5685793184964265,-0.07646968286629903,0.9391997587967189,104
7,0.062438974991509875,1.07130490500126,0.05828310381108209,0.9536406063531282,104
8,0.4175509947353708,1.2984017975296496,0.3215884293519979,0.7484425070002292,104
9,-1.2512678662094223,3.024772834448217,-0.41367333505482246,0.6800081219313898,104
10,0.011880163537253624,1.2077310330086108,0.009836762666981103,0.992171320827846,104
