variant,window,h,beta,se,t,p,n,error
base,ret_close_close,0,1.7606776298055267,2.888239774409709,0.6096023070540844,0.5434677232125076,108,
base,ret_overnight,0,1.3564788889428332,1.1455155484139983,1.1841645369379055,0.2390734119543454,108,
base,ret_intraday,0,0.40419874086269697,2.457365244964217,0.16448460060668868,0.8696720300627567,108,
exclude_macro,ret_close_close,0,1.975113049618471,2.9551845447186746,0.6683552311980896,0.5053875505584253,109,
exclude_macro,ret_overnight,0,1.1580703312488367,1.214223396712389,0.9537539256650865,0.34241976214169334,109,
exclude_macro,ret_intraday,0,0.8170427183696394,2.349279687772583,0.3477843539116027,0.7287050497184153,109,
bull,ret_close_close,0,1.2505412842227592,4.816416394123501,0.25964143917219074,0.7959024835176107,75,
bull,ret_overnight,0,1.0285697534574356,1.758112301505234,0.5850421230639308,0.5604005846896141,75,
bull,ret_intraday,0,0.22197153076533,3.5279052542557694,0.06291879026443868,0.9500104911312279,75,
bear,ret_close_close,0,-19.568440049139156,2080.793730470184,-0.009404315171940372,0.992568342120763,31,
bear,ret_overnight,0,-23.47706727112447,2264.357849963597,-0.01036809056991672,0.9918067561071211,31,
bear,ret_intraday,0,3.908627221985757,250.96130225425594,0.015574621214014171,0.9876926531220225,31,
pre_t1,ret_close_close,0,,,,,0,float division by zero
pre_t1,ret_overnight,0,,,,,0,float division by zero
pre_t1,ret_intraday,0,,,,,0,float division by zero
post_t1,ret_close_close,0,1.87101619123588,2.864048350539544,0.6532767475393383,0.5151076585761878,103,
post_t1,ret_overnight,0,1.4870459531557492,1.1872406561269004,1.2525227682202988,0.21336015159033495,103,
post_t1,ret_intraday,0,0.38397023808013675,2.553650212095923,0.15036132836884933,0.8807885937151101,103,
year_2024,ret_close_close,0,2.9242202587702586,2.016560512668298,1.4501029056157366,0.16180215237537188,26,
year_2024,ret_overnight,0,1.4252181003412867,0.8252775455466556,1.7269561107436124,0.09885758839681236,26,
year_2024,ret_intraday,0,1.4990021584289726,1.6342553472931507,0.9172386438335963,0.36943224187670043,26,
year_2025,ret_close_close,0,1.610291552390861,2.7629648538267415,0.5828128975873822,0.5617222169023206,82,
year_2025,ret_overnight,0,1.5184264564943188,2.093142090495183,0.7254292307194007,0.4703877685956974,82,
year_2025,ret_intraday,0,0.09186509589654594,2.067316535159557,0.04443687956544871,0.9646712034478044,82,
